parent_opeid,opeid,state,school_name,loc_name,addr_verif,lat,lon
680700,680700,PA,COMMUNITY COLLEGE OF BEAVER COUNTY,COMMUNITY COLLEGE OF BEAVER COUNTY - MAIN CAMPUS,"One Campus Drive, Monaca, PA 15061",40.6550737,-80.3051093
680700,680704,PA,COMMUNITY COLLEGE OF BEAVER COUNTY,COMMUNITY COLLEGE OF BEAVER COUNTY - WESTERN AREA CTC,"688 Western Avenue, Canonsburg, PA 15317",40.2545969,-80.2455444
681000,681000,PA,LEHIGH CARBON COMMUNITY COLLEGE,LEHIGH CARBON COMMUNITY COLLEGE - MAIN CAMPUS,"4525 Education Park Drive, Schnecksville, PA 18078",40.6638381,-75.612015
681000,681003,PA,LEHIGH CARBON COMMUNITY COLLEGE,LEHIGH CARBON COMMUNITY COLLEGE - DONLEY CENTER,"718 West Hamilton Street, Allentown, PA 18101",40.6018472,-75.4723739
681000,681002,PA,LEHIGH CARBON COMMUNITY COLLEGE,LEHIGH CARBON COMMUNITY COLLEGE - AIRPORT SITE,"600 Hayden Circle, Allentown, PA 18103",40.6484896,-75.4433301
681000,681006,PA,LEHIGH CARBON COMMUNITY COLLEGE,LEHIGH CARBON COMMUNITY COLLEGE - MORGAN CENTER,"234 High Street, Tamaqua, PA 18252",40.7949296,-75.9751702
681100,681107,PA,LUZERNE COUNTY COMMUNITY COLLEGE,LUZERNE COUNTY COMMUNITY COLLEGE - SCRANTON CENTER,"300 Lackawanna Ave, Scranton, PA 18503",41.4077053,-75.6677196
681100,681102,PA,LUZERNE COUNTY COMMUNITY COLLEGE,LUZERNE COUNTY COMMUNITY COLLEGE - WILKES-BARRE CENTER,"2 Public Square, Wilkes-Barre, PA 18701",41.2465918,-75.8822781
681100,681103,PA,LUZERNE COUNTY COMMUNITY COLLEGE,LUZERNE COUNTY COMMUNITY COLLEGE - HAZELTON CENTER,"100 W. Broad Street Suite 108, Hazleton, PA 18201",40.9542308,-75.9760318
681100,,PA,LUZERNE COUNTY COMMUNITY COLLEGE,LUZERNE COUNTY COMMUNITY COLLEGE - PITTSTON CENTER,"13 S Main St, Pittston, PA 18640",41.3215169,-75.79102
681100,681105,PA,LUZERNE COUNTY COMMUNITY COLLEGE,LUZERNE COUNTY COMMUNITY COLLEGE - WATSONTOWN CENTER,"1100 Main Street, Watsontown, PA 17777",41.0926422,-76.8700692
681100,681106,PA,LUZERNE COUNTY COMMUNITY COLLEGE,LUZERNE COUNTY COMMUNITY COLLEGE - BERWICK CENTER,"107 S. Market Street, Berwick, PA 18603",41.0541546,-76.2336542
681100,681100,PA,LUZERNE COUNTY COMMUNITY COLLEGE,LUZERNE COUNTY COMMUNITY COLLEGE - MAIN CAMPUS,"521 Trailblazer Drive, Nanticoke, PA 18634",41.1945804,-75.9909749
681100,681104,PA,LUZERNE COUNTY COMMUNITY COLLEGE,LUZERNE COUNTY COMMUNITY COLLEGE - SHAMOKIN CENTER,"2 East Arch Street, Shamokin, PA 17872",40.7886679,-76.5554142
681500,681500,SC,ORANGEBURG - CALHOUN TECHNICAL COLLEGE,ORANGEBURG CALHOUN TECHNICAL COLLEGE,"3250 Saint Matthews Road, Orangeburg, SC 29118",33.5451893,-80.8297199
681900,681900,VA,BLUE RIDGE COMMUNITY COLLEGE,BLUE RIDGE COMMUNITY COLLEGE,"1 College Lane, Weyers Cave, VA 24486",38.2781364,-78.9390334
